,Project Name,Title Length,Project Source,Project Type,Project Plant Year,Project Built Year,Project Country,Project Latitude,Project Longitude,Project Function,Project Description,Project Lessons,Project Link,Project Retail Rate,Project Consumption,Project PVaPC,Project Form,Project Size,Project Cost,System Type,System Building Element,System Inverter,System Cost,System Cost Intensity,System Efficiency Comprimise,System Rating,System Coverage,System Specific Yield,System Generation Measured,System Generation Simulated,System Agreement,System Agreement Rate,System Rebate,Array Orientation(s),Array Surface(s),Array Tilt(s),Array Mount(s),Module Type(s),Module Cell Type(s),Module Construction,Module Products,Module Sizes(s),Module Transparency,Module Transparency Type,Module Uniques,Module Cost,Fake Modules?,Data Source(s),Image Name,Economic FIT,Economic DR,Economic Price Change,Resolution,Manual Inspection,Keep,Note,Simple System Building Element,System Type Clean,Map Symbols,Map Symbols2,Project Function Clean,Array Orientation(s) Clean,Map Sizes,System Generation,Map Colors
0,De Willem en De Zwijger,23.0,IEA Case Studies,New Build,2018,2018,Netherlands,51.50137,5.390935,Multi Family,Unknown, ,https://www.bamwonen.nl/projecten/48-appartementen-de-willem-en-de-zwijger-in-best,,,,,2500.0,,Integrated,,micro,,,,250.0,1250,351.684,0.0,87921.0,,,,Mixed,,90,standard z-girts,Thin Film,CIS,,,656_1656,0,,1,,No,https://www.eigenenergie.net/portfolio-item/2018-facade-best-250kw-c-si-cigs-solar-edge-flat-gevel/,placeholder,,,,,,,,Unknown,Integrated,circle,circle,Multi Residential,Mixed,22,87921.0,#c2cb7e
1,UW Life Sciences,16.0,Weerasinghe et al. Economic Analysis,New Build,2018,2018,United States,47.651988,-122.310062,Institutional,Unknown,,,0.147,,,,,,,,,0,528,,20.0,0,613,0.0,12260.0,,,,Unknown,,,,Thin Film,a-Si,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110654,placeholder,0.55,2.16,0.007,,,,,Unknown,Unknown,circle,circle,Institutional,Unknown,10,12260.0,#c2cb7e
2,Brynseng Primary School,23.0,IEA Case Studies,New Build,2017,2017,Norway,59.908781,10.811339,School,Stark black BIPV modules were integrated into this school following a decision to build it in a net-zero scheme. The modules are effecticley back-ventilated cladding., - The BIPV was added later in the design process and therefore suffers from soe self-building shading.  - Unclear regulations stifled progress at times and due to this being a new type of component the tendering process and pricing was unclear. - Without clear fire regulations the local fire team trained on the system to understand how it and similar installations may need ot be addressed. - Custom modules and various sizes complicated pricing.,https://bipv.eurac.edu/en/case-studies/brynseng-primary-school.html,0.144,40,80,,11600.0,,Integrated,Facade,standard,,1228_AUD/m2,,166.0,1046,633,0.0,105000.0,Net-meter,,100.0,185,cold facade,90,custom z-girts,Crystalline,Mono,,,variety,0,,26,,No, - general https://iea-pvps.org/key-topics/succesful-building-integration-of-photovoltaics-a-collection-of-international-projects/ - retail rate https://www.globalpetrolprices.com/Norway/electricity_prices/,brynseng_o,0.05,1.5,0.001,Project,x,,,Facade,Integrated,triangle-right,square,Office,185,22,105000.0,#c2cb7e
3,Copenhagen International,24.0,IEA Case Studies,New Build,2017,2017,Denmark,55.711795,12.598121,School,"The inclusion of BIPV was insisted upon by one member of the board that oversaw the project. The school was initally designed ot include a metal facade system that was supposedly cost comparable with BIPV whihc made convincing other board memebrs of the BIPV worth. The BIPV elements are all fixed but with different tilt thus leading to inevitable shading. This is minimized with a micro-inverter system that is stored in the plenums for easier access. There was a time when the system was sending too much to the grid and the utility needed to shut it down. The North facade is covered in panels, but not connected to the system and meant to serve as a bank of replacement.", - A BIPV advocate needs to be consistent throughout the project or it may dissapear. - Shading and partial shading can be overcome to optimize aesthetic over performance. - Utilties may hinder the overall performance if not prepared to receive generated electricty. - Clear and comfortable site and installation area access is key to faster and less error-prone installations.,"https://actu.epfl.ch/news/the-school-with-the-largest-solar-facade-in-the--5/, https://www.openaccessgovernment.org/zero-energy-building-denmark/44444/",,25,50,,25000.0,,Integrated,,micro,,,,720.0,6000,371.5277778,0.0,267500.0,,,,Mixed,facade,86_94,custom,Crystalline,Mono,,,700x700,0,,1,,No, - general https://iea-pvps.org/key-topics/succesful-building-integration-of-photovoltaics-a-collection-of-international-projects/ - retail rate https://www.globalpetrolprices.com/Denmark/electricity_prices/,copenhagen_int_school_g,,,,,,,,Unknown,Integrated,circle,circle,Office,Mixed,22,267500.0,#c2cb7e
4,Scotch College,14.0,Weerasinghe et al. Economic Analysis,New Build,2017,2017,Australia,-37.834432,145.027384,Institutional,Unknown,,,0.258,,,,,,,,,0,636,,4.3,0,475,0.0,2042.5,,,,Unknown,,,,Thin Film,a-Si,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110623,placeholder,0.11,5.99,0.02,,,,,Unknown,Unknown,circle,circle,Institutional,Unknown,8,2042.5,#c2cb7e
5,Singyes Solar Office,20.0,IEA Case Studies,New Build,2017,2017,China,22.388245,113.546987,Commercial,Unknown,,https://www.construction21.org/case-studies/cn/zhuhai-xingye-new-energy-industrial-park-r-d-building.html,,50.25,,,23546.0,100000000_Y,Integrated,,standard,1177360_Y,,,234.8,0,640.1660988,0.0,150311.0,self,,,Mixed,roof_facade_roof_parapet,6_30_0_80,standard_custom frame_standard_standard,Crystalline,Mono,,,na_na_na_na,0,,na_na_na_na,,No_Yes_No_Yes,,placeholder,,,,,,,,Unknown,Integrated,circle,circle,Commerical,Mixed,22,150311.0,#c2cb7e
6,Wohnhaus in Zurich,18.0,Swiss BIPV Competence Center,New Build,2017,2017,Switzerland,47.3426333,8.5358095,Multi Family Residential,Unknown,,,,,,Rowhouses,,,,Pitched Roof & Cold Facade,,,,,74.0,800,608.1081081,0.0,45000.0,,,,Unknown,Paneled BIPV Shell,v30-90,,Crystalline,Mono,,Ertex Solartechnik,,0,,,,,,placeholder,,,,,,,,Mixed,Unknown,cross,heart,Multi Residential,Unknown,14,45000.0,#c2cb7e
7,Apartment in Sorrento,21.0,Weerasinghe et al. Economic Analysis,New Build,2016,2016,Australia,-37.767981,144.999208,Multi Family Residential,Unknown,,,0.258,,,,,,,,,0,529,,5.0,0,763,0.0,3815.0,,,,Unknown,,,,Thin Film,a-Si,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110625,placeholder,0.11,5.99,0.02,,,,,Unknown,Unknown,circle,circle,Multi Residential,Unknown,8,3815.0,#c2cb7e
8,Latrobe University,18.0,Weerasinghe et al. Economic Analysis,New Build,2016,2016,Australia,-37.720743,145.046284,Institutional,Unknown,,,0.258,,,,,,,,,0,1685,,28.0,0,514,0.0,14392.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110622,placeholder,0.11,5.99,0.02,,,,,Unknown,Unknown,circle,circle,Institutional,Unknown,14,14392.0,#c2cb7e
9,Rovio Garage,12.0,Swiss BIPV Competence Center,New Build,2016,2016,Switzerland,45.932225,8.982319,Utility,Unknown,,,,,Na,,55.0,,,Pitched Roof,,,,,8.0,55,893.75,0.0,7150.0,,,,Unknown,BIPV Roof,15,,Crystalline,Mono,,Designergy TCR 2054 - prefab,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Industrial,Unknown,10,7150.0,#c2cb7e
